id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
uyJSzIis1XqQu6ECM9xiqd,100 Euro,"

Jahrgang: [object Object] | Rebsorte: [object Object] | Geschmack: [object Object] | Qualität: [object Object] | Füllmenge: 0.1L",in stock,new,100.00 EUR,https://www.kirsten-liebieg.de/produkt/100-euro,https://cdn.sanity.io/images/3y5r987r/production/9c30084858c197ef200bfe9335652217593e6f37-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,99,,,,unisex,,0.1L,adult,,,,,,,GUT100,,,
uyJSzIis1XqQu6ECM9xgfl,2018 Pölicher Held,"Aromen und Stil Kräftiges Goldgelb im Glas. In der Nase reife Aprikose, Mirabelle, Mango, Papaya und Ananas. Am Gaumen saftig, dicht und mit fleischiger Frucht. Eine feine Säure hält den Wein lebendig und verhindert jede Schwere. Mit zunehmender Reife treten Noten von Honig, Karamell und getrockneten Früchten hervor, die den Wein noch komplexer machen. Das Besondere an unseren Lagenweinen Die Pölicher Held ist ein nach Süden ausgerichteter Steilhang, der perfekte Bedingungen für ausdrucksstarke Rieslinge bietet. Bis zu 1000 Stunden Handarbeit pro Hektar fließen in die Pflege der Reben und die selektive Lese. Der Ausbau erfolgt traditionell, mit Ruhe und Zeit, sodass die Mosel Mineralität im Glas strahlen kann. Foodpairing Gehaltvolle Ragouts Pikante Currys Krustentiere und Hummer Desserts mit exotischen Früchten Trinken Sofort ein Genuss. Mit einigen Jahren Flaschenreife gewinnt er an Eleganz, Schmelz und Tiefe. Der Wein Pölicher Held Riesling ist das fruchtsüße Aushängeschild unseres Weinguts. Ein Lagenwein, der jedes Jahr mit neuer Vielfalt begeistert und die Mosel in ihrer ganzen Strahlkraft zeigt.

Jahrgang: 2018 | Rebsorte: Riesling | Geschmack: lieblich | Qualität: Spätlese | Alkohol: 9% | Füllmenge: 0.75L",in stock,new,18.00 EUR,https://www.kirsten-liebieg.de/produkt/2018-poelicher-held,https://cdn.sanity.io/images/3y5r987r/production/52a10b880340213dc75f586bf6e7416cecfec452-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,671,,,,unisex,,0.75L,adult,,,,,,,1814,,,Vollmundig & Komplex
O3vhvzQcxG7VqPlmCEKbZs,2020 19Null4,"Aromen und Stil Tief goldgelb im Glas. In der Nase duftige Aromen von Ananas, Mango und Bergamotte. Am Gaumen saftig und fleischig, mit exotischer Frucht und einer tragenden, fast cremigen Säure. Maracuja und Zitrusnoten gesellen sich dazu. Das Finale ist lang, komplex und animierend. Das Besondere an unseren großen Lagenweinen Der Herrenberg wurde während der Säkularisation unter Napoleon von einer Longuicher Familie erworben und 1904 mit wurzelechten Reben bepflanzt – eine absolute Rarität an der Mosel, da die meisten Anlagen der Reblaus zum Opfer fielen. Bis zu 1000 Stunden Handarbeit pro Hektar stecken in der Pflege dieser Steillage. Nach einer kurzen Maischestandzeit wird der Most offen sedimentiert, anschließend spontan im Stahltank vergoren. Der biologische Säureabbau sorgt für Balance, die Lagerung auf der Feinhefe bis zur Füllung im August für Tiefe. Erst nach einem Jahr Flaschenreife kommt 1904 in den Verkauf. Foodpairing Kräftiger Aperitif Asiatische Gerichte mit Schärfe Wildragout oder Sauerbraten Würzige Käsesorten Desserts mit exotischen Früchten Trinken Schon jetzt ein Genuss, mit fünf bis zehn Jahren Reife entfaltet er seine ganze Eleganz und Sammlerqualität. Der Wein 1904 Longuicher Maximiner Herrenberg Riesling ist ein Monument der Mosel. Wurzelechte Reben, historische Lage und handwerklicher Ausbau machen ihn zu einem einzigartigen Großen Lagenwein.

Jahrgang: 2020 | Rebsorte: Riesling | Geschmack: halbtrocken | Qualität: Spätlese | Alkohol: 13% | Füllmenge: 0.75L",in stock,new,28.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-19null4,https://cdn.sanity.io/images/3y5r987r/production/4001b79d11b4e8f333ea5189dcbc829c8d0fd93f-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,202,,,,unisex,,0.75L,adult,,,,,,,2012,,,Vollmundig & Komplex
uyJSzIis1XqQu6ECM9xiTx,2020 Alte Reben,"Aromen und Stil Kräftiges Goldgelb im Glas. In der Nase intensive tropische Frucht mit Ananas und Mango. Am Gaumen konzentriert, kraftvoll und dennoch nicht überladen. Saftige Exotik, feine Restsüße und elegante Säure verschmelzen zu einem warm-würzigen Finale. Mit Reife entwickeln sich Noten von Dörrobst und Karamell, die dem Wein zusätzliche Tiefe verleihen. Das Besondere an unseren großen Lagenweinen Bis zu 1000 Stunden Handarbeit pro Hektar stecken in den Steillagen. Die Alten Reben der Klüsserather Bruderschaft wurden 1921 gepflanzt – kleinbeerig, intensiv und voller Energie. Nach der späten Lese folgt eine Maischestandzeit, offene Sedimentation und spontane Gärung. Ein Teil des Mostes reift im Barrique, der biologische Säureabbau sorgt für cremige Eleganz. Anschließend bleibt der Wein bis in den Spätsommer auf der Feinhefe und bekommt mindestens ein Jahr Flaschenruhe, bevor er in den Verkauf kommt. Foodpairing Wildpaté und kräftige Fleischgerichte Paella mit Safran Indische Currys Gereifter Käse mit nussigen Noten Trinken Ab einem Jahr Flaschenreife trinkbereit. Mit fünf bis zehn Jahren Lagerung entfaltet sich die volle Eleganz und Tiefe. Der Wein Alte Reben Riesling ist das große Aushängeschild unseres Weinguts. Ein Wein, der Mosel Schiefer, Zeit und Handwerk zu einer Geschichte im Glas verbindet – kraftvoll, mineralisch und unvergänglich.

Jahrgang: 2020 | Rebsorte: Riesling | Qualität: Spätlese | Alkohol: 13% | Füllmenge: 0.75L",in stock,new,28.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-alte-reben,https://cdn.sanity.io/images/3y5r987r/production/64dbd3578f5f485b49f047c120ab32163bda92b8-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,1358,,,,unisex,,0.75L,adult,,,,,,,2010,,,Vollmundig & Komplex
O3vhvzQcxG7VqPlmCEKbhD,2020 For Friends ,"Aromen und Stil In der Nase reife Aprikose, gelber Apfel und saftige Birne, begleitet von feinen Honignoten und einem Hauch weißer Blüten. Am Gaumen zeigt sich eine harmonische Restsüße, getragen von einer lebendigen Säure. Steinobst, ein dezenter Zitrusakzent und eine feine mineralische Würze sorgen für Frische, Balance und einen eleganten, anhaltenden Abgang. Foodpairing Asiatische Gerichte mit leichter Schärfe Sommerliche Küche mit fruchtigen Akzenten Desserts mit Apfel, Birne oder Beeren Auch solo ein Genuss in geselliger Runde Trinken Jetzt genießen. Gut gekühlt servieren. Die Balance aus Restsüße und Säure sorgt auch mit etwas Reife für anhaltenden Trinkspaß. Der Wein For Friends steht für unkomplizierten Genuss mit Anspruch. Ein fruchtiger Kabinett aus dem Mehringer Zellerberg mit sehr moderatem Alkoholgehalt, lebendiger Säure und animierender Süße. Ein Ortswein, der verbindet und genau dafür gemacht ist.

Jahrgang: 2020 | Rebsorte: Riesling | Geschmack: Fruchtsüß | Qualität: Kabinett | Alkohol: 7.32% | Füllmenge: 0.75L",in stock,new,15.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-for-friends,https://cdn.sanity.io/images/3y5r987r/production/452583959c93c1cb2e6d96368653fea252da8762-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,465,,,,unisex,,0.75L,adult,,,,,,,2013,,,Aromatisch & Charmant
uyJSzIis1XqQu6ECM9xgcm,2020 Herz aus Holz,"Aromen und Stil Kräftiges Goldgelb. In der Nase reife Aprikose, Ananas, Papaya, dazu Haselnuss, Eiche und eine feine Rauchnote. Am Gaumen saftig, exotisch und elegant, getragen von perfekt eingebundenem Holz. Kraftvoll, aber nie überladen. Das Besondere An Der Black Edition Black Edition bedeutet: Projekte, die Zeit brauchen und nicht jedes Jahr entstehen. Herz aus Holz stammt aus den Parzellen unseres Herzstücks. Ein Teil reifte in neuen Barriques und wurde separat abgefüllt. Limitierte Menge, späte Abfüllung, mindestens ein Jahr Flaschenreife – ein Wein für Liebhaber von Holzfasscharakter. Foodpairing Currys mit exotischer Würze Geräucherter Fisch Geflügel und Meeresfrüchte Schweinekrustenbraten Trinken Nach einem Jahr Flaschenreife erhältlich. Lagerfähig bis zu zehn Jahre. Der Wein Herz aus Holz ist ein Wein für Freaks und Liebhaber. Holz, Schiefer und Riesling verschmelzen zu einem einzigartigen Ausdruck der Mosel – dunkel, kraftvoll, außergewöhnlich.

Jahrgang: 2020 | Rebsorte: Riesling | Geschmack: trocken | Qualität: Qualitätswein | Alkohol: 13% | Füllmenge: 0.75L",in stock,new,28.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-herz-aus-holz,https://cdn.sanity.io/images/3y5r987r/production/f60c3f6c94fd910b75b654617f0ee798a52aaaaa-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,326,,,,unisex,,0.75L,adult,,,,,,,2025,,,Vollmundig & Komplex
uyJSzIis1XqQu6ECM9xgWo,2020 Herzstück,"Aromen und Stil Kräftiges Goldgelb im Glas. In der Nase Aprikose, Weinbergpfirsich, Grapefruit und exotische Früchte wie Ananas und Papaya. Dazu feine Kräuter, Pfefferminze und ein Hauch Eukalyptus. Am Gaumen dicht und stoffig, mit exotischer Frucht, feiner Säure und mineralischem Biss. Das Finale ist lang, würzig und entwickelt mit den Jahren elegante Noten von Honig und Trockenfrüchten. Das Besondere an unseren Lagenweinen Die Klüsserather Bruderschaft ist ein Steilhang mit bis zu 1000 Handarbeitsstunden pro Hektar. Im Herzstück, dem Kern der Lage, ernten wir Trauben, die in kurzer Maischestandzeit vorbereitet und anschließend spontan vergoren werden. Der biologische Säureabbau sorgt für cremige Eleganz. Bis in den Spätsommer reift der Wein auf der Feinhefe, bevor er nach einem Jahr Flaschenruhe seine volle Strahlkraft zeigt. Foodpairing Asiatische Küche mit leichter Schärfe Mediterrane Gerichte Geschmortes Kalbfleisch oder Reh Risotto mit Waldpilzen Trinken Ab einem Jahr Flaschenreife verfügbar. Mit drei bis fünf Jahren Lagerung erreicht er seine größte Eleganz. Der Wein Herzstück Riesling ist ein echtes Juwel der Klüsserather Bruderschaft. Ein Lagenwein, der exotische Aromen, Schiefermineralität und tiefe Eleganz vereint.

Jahrgang: 2020 | Rebsorte: Riesling | Qualität: Spätlese | Alkohol: 12.5% | Füllmenge: 0.75L",in stock,new,22.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-herzstueck,https://cdn.sanity.io/images/3y5r987r/production/4ecbbd0526a21e0aaab18096f4984130ded3b1e8-1024x1024.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,1698,,,,unisex,,0.75L,adult,,,,,,,2009,,,Aromatisch & Charmant
uyJSzIis1XqQu6ECM9xjbm,2020 Laurentiuslay,"Aromen und Stil Goldgelb im Glas. In der Nase feiner Duft von Pfirsich und Apfel, getragen von der typischen Schieferwürze. Am Gaumen beginnt er mineralisch und kühl, bevor saftiges Steinobst, Maracuja und Ananas den Ton angeben. Eine cremige, elegante Säure führt in ein würzig mineralisches Finale. Das Besondere an unseren Lagenweinen Bis zu 1000 Stunden Handarbeit pro Hektar stecken in der Laurentiuslay. Selektive Lese, kurze Maischestandzeit, spontane Vergärung und biologischer Säureabbau bringen Eleganz und Tiefe. Danach reift der Wein bis in den Spätsommer auf der Feinhefe. Erst nach mindestens einem Jahr Flaschenruhe kommt er in den Verkauf. Foodpairing Moselzander mit Rieslingkraut Jakobsmuscheln oder Saibling Gemüsegerichte mit Spargel oder Kräutern Trinken Ab einem Jahr Flaschenreife trinkbereit. Mit drei bis fünf Jahren entwickelt er zusätzliche Eleganz und Tiefe. Servieren bei 9 bis 11 Grad. Der Wein Köwericher Laurentiuslay Riesling ist Ausdruck purer Mosel Mineralität. Ein Lagenwein, der von Schiefer, Steillage und Geduld erzählt – charaktervoll und langlebig.

Jahrgang: 2020 | Rebsorte: Riesling | Qualität: Spätlese | Alkohol: 12.5% | Füllmenge: 0.75L",in stock,new,18.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-laurentiuslay,https://cdn.sanity.io/images/3y5r987r/production/43ea619bb1a65f2e20e8adc732588b58391d8eb9-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,104,,,,unisex,,0.75L,adult,,,,,,,2008,,,Frisch & Lebendig
uyJSzIis1XqQu6ECM9xgjw,2020 Piesporter Goldtröpchen,"

Jahrgang: 2020 | Rebsorte: Riesling | Geschmack: [object Object] | Qualität: Auslese | Alkohol: 7% | Füllmenge: 0.75L",in stock,new,24.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-piesporter-goldtroepchen,https://cdn.sanity.io/images/3y5r987r/production/304eff8fa1305ed413c8e92a3ba52d838a0e8cf8-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,754,,,,unisex,,0.75L,adult,,,,,,,2052,,,
7YZDYirIDVZqWLST0O7WW9,2020 Trittenheimer Apotheke,"Aromen und Stil Zartes Goldgelb im Glas. In der Nase steinige Mineralität, frischer Apfel, Birne und Quitte. Am Gaumen komplex, salzig und vielschichtig. Die Frucht wechselt sich mit feiner Säure ab, das Finale hallt lange nach – ungewohnt und doch vertraut. Das Besondere an unseren großen Lagenweinen Die Trittenheimer Apotheke ist eine der spektakulärsten Steillagen. Kein Weg führt von oben hinunter – jede Terrasse muss einzeln erklommen werden. Selbst der Reblaus war es zu steil. Hier wachsen wurzelechte Reben auf schmalen Terrassen mit flachgründigem Schieferboden. Im Keller wartet ein 1000 Liter Granitfass: Ein Teil der Beeren vergärt darin spontan, der Stein bringt eine zusätzliche salzige Dimension zur Mineralität des Schiefers. Limitiert auf nur 1000 Liter. Foodpairing Gebratene oder pochierte Süßwasserfische Flusskrebse mit frischem Gemüse Feine Vorspeisen mit Kräutern Trinken Ab einem Jahr Flaschenreife erhältlich. Danach fünf Jahre und länger lagerfähig. Der Wein Trittenheimer Apotheke Riesling ist ein großer Mosel Klassiker. Ein Wein voller Spannung, geprägt von alten Reben, spektakulären Steillagen und der Eleganz des Granitfass Ausbaus.

Jahrgang: 2020 | Rebsorte: Riesling | Qualität: Spätlese | Alkohol: 13% | Füllmenge: 0.75L",in stock,new,28.00 EUR,https://www.kirsten-liebieg.de/produkt/2020-trittenheimer-apotheke,https://cdn.sanity.io/images/3y5r987r/production/05e02b904c0efface21210e8fe2cfea2e012464e-1800x1800.jpg?w=1200&q=100,"Erzeugerabfüllung Kirsten Wein und Sekt GmbH, Krainstraße 5, DE-54340, Klüsserath","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Food & Beverage > Alcoholic Beverages > Wine,382,,,,unisex,,0.75L,adult,,,,,,,2015,,,Mineralisch & Tiefgründig
